Specie,Identificativo Pianta,Massa Chioma (g),Massa Fusto (g),Massa Rami (g),Massa Radici (g),Massa Totale (g),Altitudine,Diametro (mm),Altezza (cm),Ramo più lungo (cm),Età,Numero di rami,Lunghezza radice più lunga (cm),Quota (m),Morfologia terreno,Uso del suolo,Esposizione,Distanza albero più vicino (m),Direzione albero più vicino (m),Distanza semenzale più vicino (cm),Tipo di suolo,Profondità apparato radicale (cm)
"Larix decidua",1,1.41700001e+01,3.71100006e+01,3.56699982e+01,2.65100002e+01,1.13459999e+02,1500,1.60000000e+01,9.00000000e+01,5.00000000e+01,18,20,1.26000000e+02,1100,"Pendio","Prato abbandonato","O",4.00000000e+00,"S-E",5.00000007e-02,"Regosol",2.00000000e+01
"Larix decidua",2,5.70699997e+01,4.68499985e+01,6.51699982e+01,5.35277596e+01,2.22617752e+02,1500,2.20000000e+01,1.02000000e+02,4.70000000e+01,11,43,1.02000000e+02,1325,"Pendio","Bordo strada","E",4.00000000e+00,"N-O",2.00000003e-01,"Regosol",5.00000000e+01
"Larix decidua",3,3.16599998e+01,4.83800011e+01,5.41399994e+01,5.43218575e+01,1.88501862e+02,1500,1.96000004e+01,1.03000000e+02,5.00000000e+01,33,38,2.00000000e+02,1310,"Pendio","Bordo strada","E",4.00000000e+00,"N-O",2.00000003e-01,"Regosol",6.30000000e+01
"Larix decidua",4,2.10999990e+00,2.16000009e+00,1.79999995e+00,1.21000004e+00,7.27999973e+00,1500,5.40000010e+00,3.70000000e+01,1.60000000e+01,9,20,7.00000000e+00,1325,"Pendio","Bordo strada","E",4.00000000e+00,"N-O",2.00000003e-01,"Regosol",1.30000000e+01
"Larix decidua",5,1.91999996e+00,1.46000004e+00,9.39999998e-01,1.86000001e+00,6.17999983e+00,1500,4.00000000e+00,3.20000000e+01,1.70000000e+01,8,22,1.50000000e+01,1325,"Pendio","Bordo strada","E",4.00000000e+00,"N-O",2.00000003e-01,"Regosol",1.20000000e+01
"Larix decidua",6,1.37000000e+00,7.79999971e-01,7.69999981e-01,1.25000000e+00,4.17000008e+00,1500,4.19999981e+00,2.30000000e+01,1.40000000e+01,7,19,1.70000000e+01,1325,"Pendio","Bordo strada","E",4.00000000e+00,"N-O",2.00000003e-01,"Regosol",1.50000000e+01
"Larix decidua",7,3.89000010e+00,7.92999983e+00,7.01000023e+00,8.68999958e+00,2.75200005e+01,1500,9.60000038e+00,4.00000000e+01,2.10000000e+01,8,26,4.70000000e+01,1345,"Pendio","Frana","S-E",1.00000000e+01,"N",3.00000012e-01,"Regosol",1.00000000e+01
"Larix decidua",8,2.64500008e+01,3.72999992e+01,4.38199997e+01,4.07088509e+01,1.48278854e+02,1500,1.46000004e+01,8.00000000e+01,5.10000000e+01,9,36,2.10000000e+02,1345,"Pendio","Frana","S-E",1.00000000e+01,"N",3.00000012e-01,"Regosol",2.00000000e+01
"Larix decidua",9,4.07999992e+00,8.71000004e+00,7.01999998e+00,1.69191952e+01,3.67291946e+01,1500,1.18000002e+01,3.90000000e+01,2.40000000e+01,9,20,1.00000000e+02,1345,"Pendio","Frana","S-E",1.00000000e+01,"N",3.00000012e-01,"Regosol",5.00000000e+01
"Larix decidua",10,3.97400017e+01,6.69300003e+01,5.62200012e+01,1.06596245e+02,2.69486237e+02,1500,1.82999992e+01,1.08000000e+02,5.00000000e+01,19,43,3.20000000e+02,1360,"Pendio","Frana","N-O",8.00000000e+00,"N",1.00000000e+00,"Regosol",2.00000000e+01
